0000 0000 da85 da85 fc49 da85 fc49 fc49 f74b f7cd f7cd feef ffff ffff ffff ffff ffff ffff ffff ffff ffff fc49 ffff f7cd f7cd f7cd fc49 fc49 fc49 da85 0000 0000 
0000 da85 fc49 da85 da85 fc09 da85 fc49 fcc9 ffff f7cd ffff ffff ffff ffff ffff ffff ffff ffff fc49 fc49 fc49 ffff ffff ffff ffff fc89 fc49 f7cd fc49 0000 0000 
0000 da85 da85 fc49 fc49 f60b f64b fc49 f64f f7cd ffe9 f755 ffff ffff ffff ffff ffff ffff ffff ffff ffff ffff ffff ffff ffff ffff f7cf f7cd fc49 fc49 da85 0000 
0000 da85 da85 fc49 fc49 fc89 fc49 fc49 f7cd fc49 fc49 fc49 ffff ffff ffff ffff ffff ffff ffff ffff ffff ffff ffff ffff ffff ffff f7cf fc49 f7cd da85 da85 0000 
0000 da85 fc49 fc49 fc49 fc49 f7cd f7cd f74b f7cd ffff f7dd ffff ffff ffff ffff ffff ffe3 f7cd f7cd ffff ffff ffff ffff ffff ffff fc8b f7cd f7cd da85 0000 0000 
0000 da85 fc49 f7cd fd49 fc49 f7cd f7cd ffe9 feef ffff ff33 ffff ffff ffff ffff f7cd fcc9 fc49 fd49 f7dd f7dd ffff ffff f7dd ffff f7cd fd49 fc49 da85 da85 0000 
0000 da85 fc49 fc49 f7cd fc89 f7cd f7cd f7d5 ffff ffff ffff ffff ffff ffff ffff ffff ffe9 fc49 fc49 ffff ffff ffff ffff ffff f7cd f7cd fc49 fc49 da85 da85 0000 
0000 da85 fc49 fc49 fc49 f78d f7cd f7cd fff7 ffff ffff ffff ffff ffff ffff ffff ffff f7cd f7cd f7cd ffff ffff ffff ffff ffff f7cd f7cd f7cd fc49 da85 da85 0000 
0000 da85 fc49 da85 fb01 fc49 f7cd f7cd f7cd ffff ffff ffff ffff ffff ffff ffff ffff ffff fff7 ffff ffff ffff ffff ffff ffff f7cd fd09 fc49 fc49 da85 da85 0000 
0000 da85 fc49 fc49 f7cd fc49 f7cd f7cd f7cd f7cd f7cd f7cd f7cd f7cd f7cd f7cd f7cd f7cd f7cd ffff ffff ffff ffff f7d5 ffff f7cd f7cd fc49 fc49 da85 0000 0000 
0000 da85 da85 fc49 fc49 fc89 f7cd f7cd f7d5 f7cd f7cd ffef f7cd f7cd f7cd f7cd ffff f7cd f7cd f7cd ffff ffff ffff ffff f7cd fc49 f78d f7cd da85 da85 0000 0000 
0000 0000 da85 da85 fc49 f78d fc49 fc89 fc49 f7cd fc49 f7cd f7cd fc49 f7cd f78d fc49 fc49 f78d f7cd fc89 f7cd f7cd f7cd fc49 fc89 fc89 fc49 da85 da85 0000 0000 
0000 0000 0000 da85 fc49 fc49 fc49 fc49 fcc9 fc49 fc49 f6cb f7cd fc49 f7cd f7cd da85 eb87 fc49 fc49 fd49 fc49 f7cd fc49 fc49 fc49 fc49 fc49 da85 da85 0000 0000 
0000 da85 0000 0000 da85 dac5 fc49 da85 da85 f7cd fc49 fc49 f7cd fc49 fc49 fc49 da85 da85 da85 da85 fc49 fc49 fc49 fc49 fc49 da85 fc49 da85 da85 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 da85 fc49 da85 fc49 fc49 fac1 da85 da85 da85 da85 da85 da85 da85 da85 da85 da85 da85 da85 da85 da85 da85 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 da85 da85 fc49 da85 da85 da85 0000 0000 0000 0000 0000 da85 da85 da85 da85 0000 da85 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 
